Column1,index,protein_external_id,preferred_name,protein_size,"annotation
",nlp_processing,cancer_noun_identification,sent_negative,sent_positive,sent_neutral,cancer,TP,FP,TN,FN,cancer_real_label
68,7559,9606.ENSP00000329466,SIRT7,400,nad dependent protein deacetylase sirtuin  nad dependent protein deacetylase that specifically mediates deacetylation of histone h at lys  hkac in contrast to other histone deacetylases displays selectivity for a single histone mark hkac directly linked to control of gene expression hkac is mainly present around the transcription start site of genes and has been linked to activation of nuclear hormone receptors sirt thereby acts as a transcription repressor moreover hk hypoacetylation has been reported as a marker of malignancy in various cancers and seems ,"['nad', 'dependent', 'protein', 'deacetylase', 'sirtuin', 'nad', 'dependent', 'protein', 'deacetylase', 'specifically', 'mediates', 'deacetylation', 'histone', 'h', 'lys', 'hkac', 'contrast', 'histone', 'deacetylases', 'display', 'selectivity', 'single', 'histone', 'mark', 'hkac', 'directly', 'linked', 'control', 'gene', 'expression', 'hkac', 'mainly', 'present', 'around', 'transcription', 'start', 'site', 'gene', 'linked', 'activation', 'nuclear', 'hormone', 'receptor', 'sirt', 'thereby', 'act', 'transcription', 'repressor', 'moreover', 'hk', 'hypoacetylation', 'reported', 'marker', 'malignancy', 'various', 'cancer', 'seems']",1,0.029,0,0.971,0,0,0,0,1,1
69,7586,9606.ENSP00000329797,CADM1,471,cell adhesion molecule  mediates homophilic cell cell adhesion in a ca  independent manner also mediates heterophilic cell cell adhesion with cadm and nectin in a ca  independent manner acts as a tumor suppressor in non small cell lung cancer nsclc cells interaction with crtam promotes natural killer nk cell cytotoxicity and interferon gamma ifn gamma secretion by cd cells in vitro as well as nk cell mediated rejection of tumors expressing cadm in vivo may contribute to the less invasive phenotypes of lepidic growth tumor cells in mast cells may mediate attach ,"['cell', 'adhesion', 'molecule', 'mediates', 'homophilic', 'cell', 'cell', 'adhesion', 'ca', 'independent', 'manner', 'also', 'mediates', 'heterophilic', 'cell', 'cell', 'adhesion', 'cadm', 'nectin', 'ca', 'independent', 'manner', 'act', 'tumor', 'suppressor', 'non', 'small', 'cell', 'lung', 'cancer', 'nsclc', 'cell', 'interaction', 'crtam', 'promotes', 'natural', 'killer', 'nk', 'cell', 'cytotoxicity', 'interferon', 'gamma', 'ifn', 'gamma', 'secretion', 'cd', 'cell', 'vitro', 'well', 'nk', 'cell', 'mediated', 'rejection', 'tumor', 'expressing', 'cadm', 'vivo', 'may', 'contribute', 'le', 'invasive', 'phenotype', 'lepidic', 'growth', 'tumor', 'cell', 'mast', 'cell', 'may', 'mediate', 'attach']",1,0.163,0.09,0.748,0,0,0,1,0,0
70,7799,9606.ENSP00000332274,PTP4A3,173,protein tyrosine phosphatase type iva  protein tyrosine phosphatase which stimulates progression from g into s phase during mitosis enhances cell proliferation cell motility and invasive activity and promotes cancer metastasis may be involved in the progression of cardiac hypertrophy by inhibiting intracellular calcium mobilization in response to angiotensin ii protein tyrosine phosphatases type iva ,"['protein', 'tyrosine', 'phosphatase', 'type', 'iva', 'protein', 'tyrosine', 'phosphatase', 'stimulates', 'progression', 'g', 'phase', 'mitosis', 'enhances', 'cell', 'proliferation', 'cell', 'motility', 'invasive', 'activity', 'promotes', 'cancer', 'metastasis', 'may', 'involved', 'progression', 'cardiac', 'hypertrophy', 'inhibiting', 'intracellular', 'calcium', 'mobilization', 'response', 'angiotensin', 'ii', 'protein', 'tyrosine', 'phosphatase', 'type', 'iva']",1,0.1,0.076,0.825,0,0,0,0,1,1
71,7831,9606.ENSP00000332602,CTAG1B,180,cancer testis antigen b belongs to the ctag pcc family ,"['cancer', 'testis', 'antigen', 'b', 'belongs', 'ctag', 'pcc', 'family']",1,0.355,0,0.645,0,0,0,0,1,1
72,7977,9606.ENSP00000334061,HDAC6,1215,histone deacetylase  responsible for the deacetylation of lysine residues on the n terminal part of the core histones ha hb h and h histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation cell cycle progression and developmental events histone deacetylases act via the formation of large multiprotein complexes by similarity plays a central role in microtubule dependent cell motility via deacetylation of tubulin involved in the mta mediated epigenetic regulation of esr expression in breast cancer ,"['histone', 'deacetylase', 'responsible', 'deacetylation', 'lysine', 'residue', 'n', 'terminal', 'part', 'core', 'histone', 'ha', 'hb', 'h', 'h', 'histone', 'deacetylation', 'give', 'tag', 'epigenetic', 'repression', 'play', 'important', 'role', 'transcriptional', 'regulation', 'cell', 'cycle', 'progression', 'developmental', 'event', 'histone', 'deacetylases', 'act', 'via', 'formation', 'large', 'multiprotein', 'complex', 'similarity', 'play', 'central', 'role', 'microtubule', 'dependent', 'cell', 'motility', 'via', 'deacetylation', 'tubulin', 'involved', 'mta', 'mediated', 'epigenetic', 'regulation', 'esr', 'expression', 'breast', 'cancer']",1,0.079,0.119,0.802,0,0,0,0,1,1
73,8034,9606.ENSP00000334563,MYO18B,2567,unconventional myosin xviiib may be involved in intracellular trafficking of the muscle cell when in the cytoplasm whereas entering the nucleus may be involved in the regulation of muscle specific genes may play a role in the control of tumor development and progression restored myob expression in lung cancer cells suppresses anchorage independent growth belongs to the trafac class myosin kinesin atpase superfamily myosin family ,"['unconventional', 'myosin', 'xviiib', 'may', 'involved', 'intracellular', 'trafficking', 'muscle', 'cell', 'cytoplasm', 'whereas', 'entering', 'nucleus', 'may', 'involved', 'regulation', 'muscle', 'specific', 'gene', 'may', 'play', 'role', 'control', 'tumor', 'development', 'progression', 'restored', 'myob', 'expression', 'lung', 'cancer', 'cell', 'suppresses', 'anchorage', 'independent', 'growth', 'belongs', 'trafac', 'class', 'myosin', 'kinesin', 'atpase', 'superfamily', 'myosin', 'family']",1,0.095,0.101,0.804,0,0,0,1,0,0
74,8239,9606.ENSP00000337368,ZNF224,707,zinc finger protein  may be involved in transcriptional regulation as a transcriptional repressor the depdca znf complex may play a critical role in bladder carcinogenesis by repressing the transcription of the a gene leading to transport of nf kb protein into the nucleus resulting in suppression of apoptosis of bladder cancer cells belongs to the krueppel ch type zinc finger protein family ,"['zinc', 'finger', 'protein', 'may', 'involved', 'transcriptional', 'regulation', 'transcriptional', 'repressor', 'depdca', 'znf', 'complex', 'may', 'play', 'critical', 'role', 'bladder', 'carcinogenesis', 'repressing', 'transcription', 'gene', 'leading', 'transport', 'nf', 'kb', 'protein', 'nucleus', 'resulting', 'suppression', 'apoptosis', 'bladder', 'cancer', 'cell', 'belongs', 'krueppel', 'ch', 'type', 'zinc', 'finger', 'protein', 'family']",1,0.174,0.035,0.791,0,0,0,1,0,0
75,8265,9606.ENSP00000337675,EBAG9,213,receptor binding cancer antigen expressed on siso cells may participate in suppression of cell proliferation and induces apoptotic cell death through activation of interleukin  beta converting enzyme ice like proteases ,"['receptor', 'binding', 'cancer', 'antigen', 'expressed', 'siso', 'cell', 'may', 'participate', 'suppression', 'cell', 'proliferation', 'induces', 'apoptotic', 'cell', 'death', 'activation', 'interleukin', 'beta', 'converting', 'enzyme', 'ice', 'like', 'protease']",1,0.22,0.066,0.714,0,0,0,1,0,0
76,8450,9606.ENSP00000339824,FGFR3,808,fibroblast growth factor receptor  tyrosine protein kinase that acts as cell surface receptor for fibroblast growth factors and plays an essential role in the regulation of cell proliferation differentiation and apoptosis plays an essential role in the regulation of chondrocyte differentiation proliferation and apoptosis and is required for normal skeleton development regulates both osteogenesis and postnatal bone mineralization by osteoblasts promotes apoptosis in chondrocytes but can also promote cancer cell proliferation required for normal development of the inner ear ph ,"['fibroblast', 'growth', 'factor', 'receptor', 'tyrosine', 'protein', 'kinase', 'act', 'cell', 'surface', 'receptor', 'fibroblast', 'growth', 'factor', 'play', 'essential', 'role', 'regulation', 'cell', 'proliferation', 'differentiation', 'apoptosis', 'play', 'essential', 'role', 'regulation', 'chondrocyte', 'differentiation', 'proliferation', 'apoptosis', 'required', 'normal', 'skeleton', 'development', 'regulates', 'osteogenesis', 'postnatal', 'bone', 'mineralization', 'osteoblast', 'promotes', 'apoptosis', 'chondrocytes', 'also', 'promote', 'cancer', 'cell', 'proliferation', 'required', 'normal', 'development', 'inner', 'ear', 'ph']",1,0.067,0.129,0.804,0,0,0,1,0,1
77,8497,9606.ENSP00000340434,LDOC1L,239,retrotransposon gag like protein  leucine zipper down regulated in cancer  like ,"['retrotransposon', 'gag', 'like', 'protein', 'leucine', 'zipper', 'regulated', 'cancer', 'like']",1,0.362,0.266,0.372,0,0,0,0,1,1
78,9084,9606.ENSP00000346484,MAK,648,serine threonine protein kinase mak essential for the regulation of ciliary length and required for the long term survival of photoreceptors by similarity phosphorylates fzr in a cell cycle dependent manner plays a role in the transcriptional coactivation of ar could play an important function in spermatogenesis may play a role in chromosomal stability in prostate cancer cells ,"['serine', 'threonine', 'protein', 'kinase', 'mak', 'essential', 'regulation', 'ciliary', 'length', 'required', 'long', 'term', 'survival', 'photoreceptors', 'similarity', 'phosphorylates', 'fzr', 'cell', 'cycle', 'dependent', 'manner', 'play', 'role', 'transcriptional', 'coactivation', 'ar', 'could', 'play', 'important', 'function', 'spermatogenesis', 'may', 'play', 'role', 'chromosomal', 'stability', 'prostate', 'cancer', 'cell']",1,0.07,0.137,0.794,0,0,0,0,1,1
79,9127,9606.ENSP00000346954,TMEM205,189,transmembrane protein  in cancer cells plays a role in resistance to the chemotherapeutic agent cisplatin ,"['transmembrane', 'protein', 'cancer', 'cell', 'play', 'role', 'resistance', 'chemotherapeutic', 'agent', 'cisplatin']",1,0.239,0.109,0.652,0,0,0,0,1,1
80,9145,9606.ENSP00000347134,NET1,596,neuroepithelial cell transforming gene  protein acts as guanine nucleotide exchange factor gef for rhoa gtpase may be involved in activation of the sapk jnk pathway stimulates genotoxic stress induced rhob activity in breast cancer cells leading to their cell death pleckstrin homology domain containing ,"['neuroepithelial', 'cell', 'transforming', 'gene', 'protein', 'act', 'guanine', 'nucleotide', 'exchange', 'factor', 'gef', 'rhoa', 'gtpase', 'may', 'involved', 'activation', 'sapk', 'jnk', 'pathway', 'stimulates', 'genotoxic', 'stress', 'induced', 'rhob', 'activity', 'breast', 'cancer', 'cell', 'leading', 'cell', 'death', 'pleckstrin', 'homology', 'domain', 'containing']",1,0.209,0.038,0.753,0,0,0,1,0,0
81,9267,9606.ENSP00000348215,SH3PXD2A,1105,sh and px domain containing protein a adapter protein involved in invadopodia and podosome formation extracellular matrix degradation and invasiveness of some cancer cells binds matrix metalloproteinases adams nadph oxidases noxs and phosphoinositides acts as an organizer protein that allows nox or nox dependent reactive oxygen species ros generation and ros localization in association with adam mediates the neurotoxic effect of amyloid beta peptide ,"['sh', 'px', 'domain', 'containing', 'protein', 'adapter', 'protein', 'involved', 'invadopodia', 'podosome', 'formation', 'extracellular', 'matrix', 'degradation', 'invasiveness', 'cancer', 'cell', 'bind', 'matrix', 'metalloproteinases', 'adam', 'nadph', 'oxidase', 'nox', 'phosphoinositides', 'act', 'organizer', 'protein', 'allows', 'nox', 'nox', 'dependent', 'reactive', 'oxygen', 'specie', 'ro', 'generation', 'ro', 'localization', 'association', 'adam', 'mediates', 'neurotoxic', 'effect', 'amyloid', 'beta', 'peptide']",1,0.113,0,0.887,0,0,0,0,1,1
82,9340,9606.ENSP00000349041,NRARP,114,notch regulated ankyrin repeat containing protein downstream effector of notch signaling involved in the regulation of liver cancer cells self renewal involved in angiogenesis acting downstream of notch at branch points to regulate vascular density proposed to integrate endothelial notch and wnt signaling to control stalk cell proliferation and to stablilize new endothelial connections during angiogenesis during somitogenesis involved in maintenance of proper somite segmentation and proper numbers of somites and vertebrae required for proper anterior posterior somite patterning ,"['notch', 'regulated', 'ankyrin', 'repeat', 'containing', 'protein', 'downstream', 'effector', 'notch', 'signaling', 'involved', 'regulation', 'liver', 'cancer', 'cell', 'self', 'renewal', 'involved', 'angiogenesis', 'acting', 'downstream', 'notch', 'branch', 'point', 'regulate', 'vascular', 'density', 'proposed', 'integrate', 'endothelial', 'notch', 'wnt', 'signaling', 'control', 'stalk', 'cell', 'proliferation', 'stablilize', 'new', 'endothelial', 'connection', 'angiogenesis', 'somitogenesis', 'involved', 'maintenance', 'proper', 'somite', 'segmentation', 'proper', 'number', 'somite', 'vertebra', 'required', 'proper', 'anterior', 'posterior', 'somite', 'patterning']",1,0.053,0,0.947,0,0,0,0,1,1
83,9440,9606.ENSP00000349929,SDCCAG3,435,serologically defined colon cancer antigen  may be involved in modulation of tnf response may be involved in presentation of tnfrsfa on the cell surface by similarity involved in the endosome to plasma membrane trafficking and recycling of snx retromer dependent cargo proteins such as glut involved in the regulation of cytokinesis the function may involve ptpn and git ,"['serologically', 'defined', 'colon', 'cancer', 'antigen', 'may', 'involved', 'modulation', 'tnf', 'response', 'may', 'involved', 'presentation', 'tnfrsfa', 'cell', 'surface', 'similarity', 'involved', 'endosome', 'plasma', 'membrane', 'trafficking', 'recycling', 'snx', 'retromer', 'dependent', 'cargo', 'protein', 'glut', 'involved', 'regulation', 'cytokinesis', 'function', 'may', 'involve', 'ptpn', 'git']",1,0.072,0,0.928,0,0,0,0,1,1
84,9526,9606.ENSP00000350704,C1orf109,203,uncharacterized protein corf may promote cancer cell proliferation by controlling the g to s phase transition ,"['uncharacterized', 'protein', 'corf', 'may', 'promote', 'cancer', 'cell', 'proliferation', 'controlling', 'g', 'phase', 'transition']",1,0.232,0.137,0.632,0,0,0,0,1,1
85,9558,9606.ENSP00000351075,SUSD2,822,sushi domain containing protein  may be a cytokine receptor for corf may be a tumor suppressor together with corf has a growth inhibitory effect on colon cancer cells which includes g cell cycle arrest may play a role in breast tumorigenesis sushi domain containing ,"['sushi', 'domain', 'containing', 'protein', 'may', 'cytokine', 'receptor', 'corf', 'may', 'tumor', 'suppressor', 'together', 'corf', 'growth', 'inhibitory', 'effect', 'colon', 'cancer', 'cell', 'includes', 'g', 'cell', 'cycle', 'arrest', 'may', 'play', 'role', 'breast', 'tumorigenesis', 'sushi', 'domain', 'containing']",1,0.231,0.101,0.668,0,0,0,1,0,0
86,9630,9606.ENSP00000351671,CCL20,96,c c motif chemokine  acts as a ligand for c c chemokine receptor ccr signals through binding and activation of ccr and induces a strong chemotactic response and mobilization of intracellular calcium ions the ligand receptor pair ccl ccr is responsible for the chemotaxis of dendritic cells dc effector memory t cells and b cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions as well as in pathology including cancer and various autoimmune diseases ccl acts as a chemotactic factor that attracts lymphocytes and slig ,"['c', 'c', 'motif', 'chemokine', 'act', 'ligand', 'c', 'c', 'chemokine', 'receptor', 'ccr', 'signal', 'binding', 'activation', 'ccr', 'induces', 'strong', 'chemotactic', 'response', 'mobilization', 'intracellular', 'calcium', 'ion', 'ligand', 'receptor', 'pair', 'ccl', 'ccr', 'responsible', 'chemotaxis', 'dendritic', 'cell', 'dc', 'effector', 'memory', 'cell', 'b', 'cell', 'play', 'important', 'role', 'skin', 'mucosal', 'surface', 'homeostatic', 'inflammatory', 'condition', 'well', 'pathology', 'including', 'cancer', 'various', 'autoimmune', 'disease', 'ccl', 'act', 'chemotactic', 'factor', 'attracts', 'lymphocyte', 'slig']",1,0.047,0.15,0.803,0,0,0,1,0,0
87,10008,9606.ENSP00000354837,ARHGEF2,986,rho guanine nucleotide exchange factor  activates rho gtpases by promoting the exchange of gdp for gtp may be involved in epithelial barrier permeability cell motility and polarization dendritic spine morphology antigen presentation leukemic cell differentiation cell cycle regulation innate immune response and cancer binds rac gtpases but does not seem to promote nucleotide exchange activity toward rac gtpases which was uniquely reported in pubmed  may stimulate instead the cortical activity of rac inactive toward cdc tc or ras gtpases forms an intracellula ,"['rho', 'guanine', 'nucleotide', 'exchange', 'factor', 'activates', 'rho', 'gtpases', 'promoting', 'exchange', 'gdp', 'gtp', 'may', 'involved', 'epithelial', 'barrier', 'permeability', 'cell', 'motility', 'polarization', 'dendritic', 'spine', 'morphology', 'antigen', 'presentation', 'leukemic', 'cell', 'differentiation', 'cell', 'cycle', 'regulation', 'innate', 'immune', 'response', 'cancer', 'bind', 'rac', 'gtpases', 'seem', 'promote', 'nucleotide', 'exchange', 'activity', 'toward', 'rac', 'gtpases', 'uniquely', 'reported', 'pubmed', 'may', 'stimulate', 'instead', 'cortical', 'activity', 'rac', 'inactive', 'toward', 'cdc', 'tc', 'ra', 'gtpases', 'form', 'intracellula']",1,0.076,0.064,0.859,0,0,0,0,1,1
88,10143,9606.ENSP00000355499,SDCCAG8,713,serologically defined colon cancer antigen  plays a role in the establishment of cell polarity and epithelial lumen formation by similarity may play a role in ciliogenesis bardet biedl syndrome associated ,"['serologically', 'defined', 'colon', 'cancer', 'antigen', 'play', 'role', 'establishment', 'cell', 'polarity', 'epithelial', 'lumen', 'formation', 'similarity', 'may', 'play', 'role', 'ciliogenesis', 'bardet', 'biedl', 'syndrome', 'associated']",1,0.13,0.13,0.74,0,0,0,0,1,1
89,10163,9606.ENSP00000355587,NTPCR,190,cancer related nucleoside triphosphatase has nucleotide phosphatase activity towards atp gtp ctp ttp and utp hydrolyzes nucleoside diphosphates with lower efficiency belongs to the thep ntpase family ,"['cancer', 'related', 'nucleoside', 'triphosphatase', 'nucleotide', 'phosphatase', 'activity', 'towards', 'atp', 'gtp', 'ctp', 'ttp', 'utp', 'hydrolyzes', 'nucleoside', 'diphosphates', 'lower', 'efficiency', 'belongs', 'thep', 'ntpase', 'family']",1,0.199,0.076,0.725,0,0,0,0,1,1
90,10288,9606.ENSP00000356162,KISS1,138,metastasis suppressor kiss  metastasis suppressor protein in malignant melanomas and in some breast cancers may regulate events downstream of cell matrix adhesion perhaps involving cytoskeletal reorganization generates a c terminally amidated peptide metastin which functions as the endogenous ligand of the g protein coupled receptor gpr activation of the receptor inhibits cell proliferation and cell migration key characteristics of tumor metastasis kp  is a decapeptide derived from the primary translation product isolated in conditioned medium of first trimester trophobl ,"['metastasis', 'suppressor', 'kiss', 'metastasis', 'suppressor', 'protein', 'malignant', 'melanoma', 'breast', 'cancer', 'may', 'regulate', 'event', 'downstream', 'cell', 'matrix', 'adhesion', 'perhaps', 'involving', 'cytoskeletal', 'reorganization', 'generates', 'c', 'terminally', 'amidated', 'peptide', 'metastin', 'function', 'endogenous', 'ligand', 'g', 'protein', 'coupled', 'receptor', 'gpr', 'activation', 'receptor', 'inhibits', 'cell', 'proliferation', 'cell', 'migration', 'key', 'characteristic', 'tumor', 'metastasis', 'kp', 'decapeptide', 'derived', 'primary', 'translation', 'product', 'isolated', 'conditioned', 'medium', 'first', 'trimester', 'trophobl']",1,0.084,0.035,0.881,0,0,0,1,0,0
91,10303,9606.ENSP00000356234,KDM5B,1544,lysine specific demethylase b histone demethylase that demethylates lys  of histone h thereby playing a central role in histone code does not demethylate histone h lys  or h lys  demethylates trimethylated dimethylated and monomethylated h lys  acts as a transcriptional corepressor for foxgb and pax favors the proliferation of breast cancer cells by repressing tumor suppressor genes such as brca and hoxa in contrast may act as a tumor suppressor for melanoma represses the clock arntl bmal heterodimer mediated transcriptional activation of the core clock ,"['lysine', 'specific', 'demethylase', 'b', 'histone', 'demethylase', 'demethylates', 'lys', 'histone', 'h', 'thereby', 'playing', 'central', 'role', 'histone', 'code', 'demethylate', 'histone', 'h', 'lys', 'h', 'lys', 'demethylates', 'trimethylated', 'dimethylated', 'monomethylated', 'h', 'lys', 'act', 'transcriptional', 'corepressor', 'foxgb', 'pax', 'favor', 'proliferation', 'breast', 'cancer', 'cell', 'repressing', 'tumor', 'suppressor', 'gene', 'brca', 'hoxa', 'contrast', 'may', 'act', 'tumor', 'suppressor', 'melanoma', 'represses', 'clock', 'arntl', 'bmal', 'heterodimer', 'mediated', 'transcriptional', 'activation', 'core', 'clock']",1,0.166,0.043,0.791,0,0,0,0,1,1
92,10350,9606.ENSP00000356438,PTGS2,604,prostaglandin g h synthase  converts arachidonate to prostaglandin h pgh a committed step in prostanoid synthesis constitutively expressed in some tissues in physiological conditions such as the endothelium kidney and brain and in pathological conditions such as in cancer ptgs is responsible for production of inflammatory prostaglandins up regulation of ptgs is also associated with increased cell adhesion phenotypic changes resistance to apoptosis and tumor angiogenesis in cancer cells ptgs is a key step in the production of prostaglandin e pge which plays imp ,"['prostaglandin', 'g', 'h', 'synthase', 'convert', 'arachidonate', 'prostaglandin', 'h', 'pgh', 'committed', 'step', 'prostanoid', 'synthesis', 'constitutively', 'expressed', 'tissue', 'physiological', 'condition', 'endothelium', 'kidney', 'brain', 'pathological', 'condition', 'cancer', 'ptgs', 'responsible', 'production', 'inflammatory', 'prostaglandin', 'regulation', 'ptgs', 'also', 'associated', 'increased', 'cell', 'adhesion', 'phenotypic', 'change', 'resistance', 'apoptosis', 'tumor', 'angiogenesis', 'cancer', 'cell', 'ptgs', 'key', 'step', 'production', 'prostaglandin', 'e', 'pge', 'play', 'imp']",1,0.125,0.094,0.781,0,0,0,0,1,1
93,10389,9606.ENSP00000356630,HECA,543,headcase protein homolog may play an important role in some human cancers may be part of the regulatory mechanism in the development of epithelial tube networks such as the circulatory system and lungs ,"['headcase', 'protein', 'homolog', 'may', 'play', 'important', 'role', 'human', 'cancer', 'may', 'part', 'regulatory', 'mechanism', 'development', 'epithelial', 'tube', 'network', 'circulatory', 'system', 'lung']",1,0,0.119,0.881,0,0,0,0,1,1
94,10464,9606.ENSP00000356988,NIT1,327,deaminated glutathione amidase catalyzes the hydrolysis of the amide bond in n  oxoglutarate l cysteinylglycine deaminated glutathione a metabolite repair reaction to dispose of the harmful deaminated glutathione plays a role in cell growth and apoptosis loss of expression promotes cell growth resistance to dna damage stress and increased incidence to nmba induced tumors has tumor suppressor properties that enhances the apoptotic responsiveness in cancer cells this effect is additive to the tumor suppressor activity of fhit it is also a negative regulator of primary t cells ,"['deaminated', 'glutathione', 'amidase', 'catalyzes', 'hydrolysis', 'amide', 'bond', 'n', 'oxoglutarate', 'l', 'cysteinylglycine', 'deaminated', 'glutathione', 'metabolite', 'repair', 'reaction', 'dispose', 'harmful', 'deaminated', 'glutathione', 'play', 'role', 'cell', 'growth', 'apoptosis', 'loss', 'expression', 'promotes', 'cell', 'growth', 'resistance', 'dna', 'damage', 'stress', 'increased', 'incidence', 'nmba', 'induced', 'tumor', 'tumor', 'suppressor', 'property', 'enhances', 'apoptotic', 'responsiveness', 'cancer', 'cell', 'effect', 'additive', 'tumor', 'suppressor', 'activity', 'fhit', 'also', 'negative', 'regulator', 'primary', 'cell']",1,0.211,0.114,0.674,0,0,0,1,0,0
95,10483,9606.ENSP00000357065,IGSF8,613,immunoglobulin superfamily member  may play a key role in diverse functions ascribed to cd and cd such as oocytes fertilization or hepatitis c virus function may regulate proliferation and differentiation of keratinocytes may be a negative regulator of cell motility suppresses t cell mobility coordinately with cd associates with cd to suppress prostate cancer cell migration regulates epidermoid cell reaggregation and motility on laminin  with cd and cd as key linkers may also play a role on integrin dependent morphology and motility functions may participate in the ,"['immunoglobulin', 'superfamily', 'member', 'may', 'play', 'key', 'role', 'diverse', 'function', 'ascribed', 'cd', 'cd', 'oocyte', 'fertilization', 'hepatitis', 'c', 'virus', 'function', 'may', 'regulate', 'proliferation', 'differentiation', 'keratinocytes', 'may', 'negative', 'regulator', 'cell', 'motility', 'suppresses', 'cell', 'mobility', 'coordinately', 'cd', 'associate', 'cd', 'suppress', 'prostate', 'cancer', 'cell', 'migration', 'regulates', 'epidermoid', 'cell', 'reaggregation', 'motility', 'laminin', 'cd', 'cd', 'key', 'linkers', 'may', 'also', 'play', 'role', 'integrin', 'dependent', 'morphology', 'motility', 'function', 'may', 'participate']",1,0.089,0.053,0.858,0,0,0,1,0,0
96,10500,9606.ENSP00000357122,PYHIN1,492,pyrin and hin domain containing protein  major mediator of the tumor suppressor activity of ifn in breast cancer cells promotes ubiquitination and subsequent degradation of mdm which leads to p tp stabilization promotes ubiquitination and subsequent degradation of hdac which in turn enhances maspin expression and impairs invasive activity of cancer cells pyrin and hin domain family ,"['pyrin', 'hin', 'domain', 'containing', 'protein', 'major', 'mediator', 'tumor', 'suppressor', 'activity', 'ifn', 'breast', 'cancer', 'cell', 'promotes', 'ubiquitination', 'subsequent', 'degradation', 'mdm', 'lead', 'p', 'tp', 'stabilization', 'promotes', 'ubiquitination', 'subsequent', 'degradation', 'hdac', 'turn', 'enhances', 'maspin', 'expression', 'impairs', 'invasive', 'activity', 'cancer', 'cell', 'pyrin', 'hin', 'domain', 'family']",1,0.253,0.067,0.681,0,0,0,1,0,0
97,10675,9606.ENSP00000357900,CUZD1,607,cub and zona pellucida like domain containing protein  cuzd antiserum inhibits cell attachment and proliferation of ovarian cancer cells so may be involved in these processes may also play a role in the uterus during late pregnancy and or in trypsin activation in pancreatic acinar cells ,"['cub', 'zona', 'pellucida', 'like', 'domain', 'containing', 'protein', 'cuzd', 'antiserum', 'inhibits', 'cell', 'attachment', 'proliferation', 'ovarian', 'cancer', 'cell', 'may', 'involved', 'process', 'may', 'also', 'play', 'role', 'uterus', 'late', 'pregnancy', 'trypsin', 'activation', 'pancreatic', 'acinar', 'cell']",1,0.118,0.133,0.749,0,0,0,1,0,0
98,10678,9606.ENSP00000357905,DMBT1,2413,deleted in malignant brain tumors  protein may be considered as a candidate tumor suppressor gene for brain lung esophageal gastric and colorectal cancers may play roles in mucosal defense system cellular immune defense and epithelial differentiation may play a role as an opsonin receptor for sftpd and spar in macrophage tissues throughout the body including epithelial cells lining the gastrointestinal tract may play a role in liver regeneration may be an important factor in fate decision and differentiation of transit amplifying ductular oval cells within the hepatic lin ,"['deleted', 'malignant', 'brain', 'tumor', 'protein', 'may', 'considered', 'candidate', 'tumor', 'suppressor', 'gene', 'brain', 'lung', 'esophageal', 'gastric', 'colorectal', 'cancer', 'may', 'play', 'role', 'mucosal', 'defense', 'system', 'cellular', 'immune', 'defense', 'epithelial', 'differentiation', 'may', 'play', 'role', 'opsonin', 'receptor', 'sftpd', 'spar', 'macrophage', 'tissue', 'throughout', 'body', 'including', 'epithelial', 'cell', 'lining', 'gastrointestinal', 'tract', 'may', 'play', 'role', 'liver', 'regeneration', 'may', 'important', 'factor', 'fate', 'decision', 'differentiation', 'transit', 'amplifying', 'ductular', 'oval', 'cell', 'within', 'hepatic', 'lin']",1,0.028,0.151,0.821,0,0,0,1,0,0
99,10943,9606.ENSP00000359264,BCAR3,825,breast cancer anti estrogen resistance protein  may act as an adapter protein and couple activated growth factor receptors to a signaling pathway that regulates the proliferation in breast cancer cells when overexpressed it confers anti estrogen resistance in breast cancer cell lines may also be regulated by cellular adhesion to extracellular matrix proteins nsp adaptor proteins ,"['breast', 'cancer', 'anti', 'estrogen', 'resistance', 'protein', 'may', 'act', 'adapter', 'protein', 'couple', 'activated', 'growth', 'factor', 'receptor', 'signaling', 'pathway', 'regulates', 'proliferation', 'breast', 'cancer', 'cell', 'overexpressed', 'confers', 'anti', 'estrogen', 'resistance', 'breast', 'cancer', 'cell', 'line', 'may', 'also', 'regulated', 'cellular', 'adhesion', 'extracellular', 'matrix', 'protein', 'nsp', 'adaptor', 'protein']",1,0.256,0.037,0.706,0,0,0,0,1,1
100,10969,9606.ENSP00000359382,PASD1,773,circadian clock protein pasd functions as a suppressor of the biological clock that drives the daily circadian rhythms of cells throughout the body acts as a nuclear repressor of the clock arntl bmal heterodimer mediated transcriptional activation of the core clock components inhibits circadian clock function in cancer cells when overexpressed ,"['circadian', 'clock', 'protein', 'pasd', 'function', 'suppressor', 'biological', 'clock', 'drive', 'daily', 'circadian', 'rhythm', 'cell', 'throughout', 'body', 'act', 'nuclear', 'repressor', 'clock', 'arntl', 'bmal', 'heterodimer', 'mediated', 'transcriptional', 'activation', 'core', 'clock', 'component', 'inhibits', 'circadian', 'clock', 'function', 'cancer', 'cell', 'overexpressed']",1,0.159,0,0.841,0,0,0,1,0,0
